id	total	mutual	mutualT	single	singleT
224483724	38	17	0	21	3
106672742	20	10	4	10	3
43983827	165	77	32	88	32
24951491	113	106	23	7	1
94706262	16	11	1	5	0
118599558	20	14	2	6	0
20417835	233	208	29	25	4
30135051	606	536	48	70	9
61433115	19	15	3	4	1
114597028	48	47	6	1	0
37667979	31	13	2	18	3
14109930	450	316	112	134	55
17970841	30	20	5	10	1
80066174	23	12	0	11	2
42263624	139	124	20	15	7
19258568	17	10	3	7	1
15877403	22	22	4	0	0
18972690	62	40	5	22	2
26785872	23	13	7	10	1
5277421	47	44	5	3	2
26670808	40	27	13	13	3
853821	12	12	6	0	0
20283789	18	9	1	9	4
15250165	13	7	1	6	3
114975487	18	10	4	8	0
10401022	141	135	25	6	1
48804316	43	19	3	24	6
18927862	719	294	42	425	22
76011113	30	22	5	8	1
17400205	1477	614	95	863	72
113466660	12	10	4	2	1
48736929	25	18	1	7	2
44424819	25	8	4	17	1
145681673	21	8	1	13	5
32513597	31	20	4	11	3
82271457	81	30	7	51	10
6675742	22	11	5	11	2
27312969	19	18	7	1	0
48986410	238	200	27	38	4
17068191	45	28	9	17	3
6092972	676	620	142	56	9
102284349	417	396	32	21	3
34245108	43	42	6	1	0
79312305	20	13	6	7	6
6299522	30	30	9	0	0
84232444	44	35	2	9	1
16165308	30	21	7	9	2
28798796	43	14	1	29	3
153697691	67	53	17	14	5
23242175	1298	916	164	382	63
16936018	369	314	67	55	11
19795773	26	16	6	10	1
256166463	27	15	5	12	4
17175264	115	93	19	22	10
